feature,coefficient,abs_coefficient
Garage Type_CarPort,-243.85959521622462,243.85959521622462
Condition 2_Artery,-233.3151763530682,233.3151763530682
Paved Drive_P,-230.3704179632183,230.3704179632183
Exterior 1st_Stucco,220.25524079367938,220.25524079367938
Exterior 2nd_Stucco,219.9342091282709,219.9342091282709
Foundation_BrkTil,213.06075360393555,213.06075360393555
BsmtFin Type 2_LwQ,-212.74561710710694,212.74561710710694
Condition 1_RRNe,-210.42179763772253,210.42179763772253
Sale Type_VWD,-207.95441219655086,207.95441219655086
Roof Matl_Roll,205.75364691519087,205.75364691519087
Electrical_FuseP,204.07569279039348,204.07569279039348
Condition 2_RRNn,198.4382053156326,198.4382053156326
Exterior 1st_Stone,193.87654346036328,193.87654346036328
Alley_Pave,-186.04914217067443,186.04914217067443
Roof Matl_Tar&Grv,185.60755949773426,185.60755949773426
Exterior 2nd_CBlock,-181.48741398157145,181.48741398157145
Bsmt Qual_Fa,168.78793568804343,168.78793568804343
Lot Config_FR3,-168.35418744184437,168.35418744184437
Mo Sold,-167.51710969225985,167.51710969225985
Roof Style_Gable,166.50629240730197,166.50629240730197
Neighborhood_Landmrk,-165.51517070943197,165.51517070943197
Fence_MnWw,-151.40492175394846,151.40492175394846
Exterior 1st_WdShing,-147.7200944465293,147.7200944465293
Paved Drive_N,147.35029004162345,147.35029004162345
Exter Cond_Gd,-143.93451487123974,143.93451487123974
Fireplace Qu_Po,141.78377427181266,141.78377427181266
BsmtFin Type 2_BLQ,-136.648916932936,136.648916932936
Misc Val,133.55214470684666,133.55214470684666
Sale Type_ConLD,-132.35562571662703,132.35562571662703
TotRms AbvGrd,129.91908583662797,129.91908583662797
Misc Feature_Shed,129.8504110750446,129.8504110750446
Condition 2_PosN,-128.85013568237315,128.85013568237315
Heating_GasA,127.22019512667197,127.22019512667197
Roof Style_Gambrel,-125.51635796715956,125.51635796715956
Lot Config_Inside,-124.24514667226765,124.24514667226765
Condition 1_PosA,120.34714510653237,120.34714510653237
Lot Shape_Reg,118.7075826069041,118.7075826069041
Alley_Grvl,118.48116126709687,118.48116126709687
Electrical_FuseF,-114.86536888805072,114.86536888805072
Central Air_Y,-110.28001749150373,110.28001749150373
Central Air_N,110.28001748451125,110.28001748451125
Enclosed Porch,-100.90382111840957,100.90382111840957
Misc Feature_Gar2,96.29974087751184,96.29974087751184
Land Slope_Gtl,95.89652350901522,95.89652350901522
Sale Type_Oth,-95.04820894009198,95.04820894009198
Bsmt Unf SF,91.00066198319888,91.00066198319888
Utilities_NoSeWa,-88.7509582894482,88.7509582894482
Heating QC_Gd,-76.01307615166372,76.01307615166372
